SECTION,NAME,REG,ADD,CAN,R-ONLY,TYPE,GEN,AX1,AX2,DEF,MIN,MAX,UNIT,PER,SECURE,DEV,SECTION_INDEX
Detent Settings,DETENT 03 POS,HREG,x42,,,INT,X,X,X,0,-180.0,180.0,% or °,X,,,1
Detent Settings,DETENT 04 POS,HREG,x43,,,INT,X,X,X,0,-180.0,180.0,% or °,X,,,1
Detent Settings,DETENT 05 POS,HREG,x44,,,INT,X,X,X,0,-180.0,180.0,% or °,X,,,1
Detent Settings,DETENT 06 POS,HREG,x45,,,INT,X,X,X,0,-180.0,180.0,% or °,X,,,1
Detent Settings,DETENT 07 POS,HREG,x46,,,INT,X,X,X,0,-180.0,180.0,% or °,X,,,1
Detent Settings,DETENT 08 POS,HREG,x47,,,INT,X,X,X,0,-180.0,180.0,% or °,X,,,1
Detent Settings,DETENT 09 POS,HREG,x48,,,INT,X,X,X,0,-180.0,180.0,% or °,X,,,1
Detent Settings,DETENT 10 POS,HREG,x49,,,INT,X,X,X,0,-180.0,180.0,% or °,X,,,1
Startup Settings,STARTUP ENABLE HOMING,COIL,x50,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP ENABLE DETENTS,COIL,x51,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP ENABLE VIBRATION,COIL,x52,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP ENABLE BOUNDARIES,COIL,x53,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP ENABLE SETPOINT,COIL,x54,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP SHOW ANGLE,COIL,x55,,,BOOL,X,X,X,1,,,,X,,,1
Startup Settings,STARTUP SHOW DETENTS,COIL,x56,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP SHOW BOUNDARIES,COIL,x57,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP SHOW SETPOINT,COIL,x58,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP SHOW SPRING SETPOINT,COIL,x59,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP SHOW ZONES,COIL,x60,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP SHOW WARNING,COIL,x61,,,BOOL,X,X,X,0,,,,X,,,1
Startup Settings,STARTUP SHOW ANIMATION,COIL,x62,,,BOOL,X,X,X,0,,,,X,,,1
