SECTION,NAME,REG,ADD,CAN,R-ONLY,TYPE,GEN,AX1,AX2,DEF,MIN,MAX,UNIT,PER,SECURE,DEV,SECTION_INDEX
Detent settings,DETENT_06_POS,HREG,x45,,,INT,X,X,X,0,-180,180,% or °,X,,,4
Detent settings,DETENT_07_POS,HREG,x46,,,INT,X,X,X,0,-180,180,% or °,X,,,4
Detent settings,DETENT_08_POS,HREG,x47,,,INT,X,X,X,0,-180,180,% or °,X,,,4
Detent settings,DETENT_09_POS,HREG,x48,,,INT,X,X,X,0,-180,180,% or °,X,,,4
Detent settings,DETENT_10_POS,HREG,x49,,,INT,X,X,X,0,-180,180,% or °,X,,,4
Startup settings,STARTUP_ENABLE_HOMING,COIL,x50,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_ENABLE_DETENTS,COIL,x51,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_ENABLE_VIBRATION,COIL,x52,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_ENABLE_BOUNDARIES,COIL,x53,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_ENABLE_SETPOINT,COIL,x54,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_SHOW_ANGLE,COIL,x55,,,BOOL,X,X,X,1,,,,X,,,5
Startup settings,STARTUP_SHOW_DETENTS,COIL,x56,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_SHOW_BOUNDARIES,COIL,x57,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_SHOW_SETPOINT,COIL,x58,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_SHOW_SPRING_SETPOINT,COIL,x59,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_SHOW_ZONES,COIL,x60,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_SHOW_WARNING,COIL,x61,,,BOOL,X,X,X,0,,,,X,,,5
Startup settings,STARTUP_SHOW_ANIMATION,COIL,x62,,,BOOL,X,X,X,0,,,,X,,,5
